Name,URL,Description,Image,,
Inbathamil oli,https://usa7.fastcast4u.com/proxy/ozmediae?mp=/1,"
Inbathamil oli fm is 24 Hours Pioneer Australia Tamil Radio இன்பத்தமிழ் ஒலி – வானலைகளின் வல்லரசன்.Inbathamil oli Tamil Radio from Sydney",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/inbathamiloli.jpg,,
Ara FM 4D,https://arafm-unicast2u.radioca.st/stream,"
Ara FM has the Tag line தமிழால் ஒன்றினைவோம்.Ara FM is Online Tamil radio station playing super hit Tamil songs.Ara FM 4 D Tamil radio plays phone in programs ",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/arafm.jpg,,
Big FM Tamil,https://stream.zeno.fm/r2gn1pgm4qruv,"
Big FM 92.7 Chennai is a Tamil radio station broadcasting from Chennai.Big FM Tamil plays top 100 Kalakal Hits and non stop Tamil super hits songs online.Listen to Youth centered super hit Fm radio station from Chennai online.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/bigfm.jpg,,
Om Radio,https://playerservices.streamtheworld.com/api/livestream-redirect/OMRADIO_S01AAC_SC,"
OM radio is the first Hindu devotional station originating from Singapore.OM radio aims to provide Hindu devotees with a satisfying religious experience.Listen to OM radio tamil radio station """,https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/omradio.jpg,,
Instrumental Music Radio,https://azuracast.vibesounds.in:8030/radio.mp3,"
Instrumental Music Radiostation online.Instrumental music of Tamil telugu hindi and english songs.Instrumental Music Radio plays Instrumental music non stop 24/7 on any device.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/instrumental.jpg,,
Dharisanam FM,https://stream.zenolive.com/b741tfumhm8uv,"
Dharisanam FM is a tamil devotional radio playing Bakthi tamil songs from movies and other artists.Dharisanam FM plays all Tamil devotional songs online 24/7 live online.Listen to Dharisanam FM live online.""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/Dharisanam-FM.jpg,,
East FM,https://strw1.openstream.co/1453,"
East FM 102.7 (CJRK-FM) is a Tamil Radio Station Operated from Scarborough",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/eastfm.jpg,,
Vagai Tamil FM,https://vtfm2020-vtfm.radioca.st/stream,"
Vagai Tamil FM is a Tamil online radio station Playing Tamil super hit songs.Listen to non stop tamil super hit songs only Vagai TamilFM live streaming """,https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/vtfm.gif,,
AMR Tamil,https://live.exertion.in:8030/amrlive,"
AMR Tamil Live is an online 24X7 Streaming Radio from Alberta",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/amrradio.jpg,,
Rewind Amudham FM,https://server.unicast2u.com/radio/8170/stream,"
Rewind Amudham Tamil radio is a radio station playing tamil old songs.Listen to tamil classical old songs and old super hits tamil songs only on Radio Rewind Amudham""",https://raw.githubusercontent.com/iarinapps/RadiosImages/refs/heads/main/Amudham-Radios-Logo-512x512-1.png,,
